# 10 most changing weights are of index: 31,67	57,6	57,112	156,124	185,103	154,39	185,48	185,146	195,126	195,194	
0	0.0770305	-0.111782	0.0572154	-0.0157967	-0.190795	0.0862216	-0.0462001	0.101727	0.0435468	0.108482	
20	0.0761257	-0.112259	0.0581299	-0.0159916	-0.191628	0.0857963	-0.0470385	0.100364	0.0417888	0.106881	
40	0.0760038	-0.112124	0.0581385	-0.0149031	-0.19154	0.0853844	-0.0468259	0.101304	0.0418951	0.106748	
60	0.0767405	-0.110068	0.0560406	-0.0136833	-0.191206	0.085789	-0.0475634	0.100615	0.0411774	0.106913	
80	0.0762768	-0.111416	0.0576816	-0.014567	-0.190894	0.0852349	-0.047803	0.100342	0.0406259	0.106621	
100	0.0764758	-0.112405	0.0581993	-0.0157197	-0.191109	0.0855364	-0.0480833	0.0994776	0.0404389	0.10679	
120	0.0767797	-0.11317	0.0582712	-0.0158847	-0.191583	0.0854316	-0.0473684	0.0997032	0.0397478	0.106043	
140	0.0767881	-0.113071	0.0584317	-0.0160264	-0.191653	0.0852256	-0.0468403	0.0998821	0.0390062	0.105261	
160	0.0766633	-0.11341	0.0595368	-0.0160422	-0.191373	0.0845346	-0.0465781	0.100275	0.0382387	0.104419	
180	0.0770782	-0.113646	0.0595136	-0.0159133	-0.191342	0.0847459	-0.0467211	0.100109	0.0381915	0.104233	
200	0.0773833	-0.114271	0.0602607	-0.0146105	-0.191595	0.0837439	-0.0467039	0.100043	0.0371399	0.103169	
220	0.0772799	-0.114771	0.0602338	-0.0145528	-0.191525	0.0832947	-0.0468457	0.0992588	0.0371233	0.102833	
240	0.0772522	-0.114635	0.0595185	-0.014442	-0.191549	0.0827859	-0.0470329	0.0990845	0.0368802	0.102624	
260	0.0768093	-0.114702	0.0604014	-0.0132646	-0.191273	0.0824482	-0.0470765	0.0985209	0.0365861	0.102542	
280	0.0770623	-0.114625	0.060358	-0.0143048	-0.190917	0.0834658	-0.0471084	0.0985227	0.0364993	0.102418	
300	0.0770946	-0.115022	0.0611983	-0.0141846	-0.191064	0.0830281	-0.0467701	0.0990294	0.0363989	0.102727	
320	0.0771706	-0.115955	0.0623576	-0.0126309	-0.189714	0.0831256	-0.0481809	0.0972617	0.0363023	0.102521	
340	0.0761861	-0.11648	0.062179	-0.0123709	-0.189881	0.0828388	-0.0483039	0.0971713	0.0360032	0.102623	
360	0.0758542	-0.116943	0.0624136	-0.0121434	-0.190492	0.0823101	-0.048672	0.0974615	0.0350581	0.102428	
380	0.0754542	-0.116996	0.0624403	-0.0113143	-0.190464	0.0829623	-0.0474964	0.098289	0.0350895	0.10302	
400	0.0739757	-0.118758	0.0635643	-0.0100999	-0.190091	0.0818037	-0.04757	0.0980099	0.0349787	0.102699	
420	0.0735271	-0.118852	0.0636642	-0.00926498	-0.189847	0.0816822	-0.0471628	0.0993615	0.0356829	0.103572	
440	0.0732172	-0.120573	0.0647988	-0.00760353	-0.189728	0.0820079	-0.0478265	0.0993256	0.0360324	0.104754	
460	0.0730867	-0.120672	0.0649559	-0.00868201	-0.188836	0.0828895	-0.0480535	0.0987742	0.0362875	0.104192	
480	0.0707901	-0.123366	0.0655459	-0.00832928	-0.189577	0.0791056	-0.0481474	0.0981755	0.0358248	0.103573	
500	0.0680543	-0.124653	0.0661475	-0.00773025	-0.190354	0.07972	-0.0473737	0.0984902	0.0348878	0.101457	
520	0.0694091	-0.125361	0.0669806	-0.0068585	-0.189264	0.0778778	-0.0484239	0.0973444	0.0346508	0.102061	
540	0.0689515	-0.12619	0.0680824	-0.0067281	-0.189275	0.0770615	-0.0484795	0.0970114	0.0346883	0.102091	
560	0.0688763	-0.12717	0.0685852	-0.00449073	-0.1884	0.0762097	-0.050189	0.096226	0.0334148	0.10068	
580	0.0689822	-0.128703	0.0705872	-0.00369029	-0.187426	0.0753767	-0.0507546	0.0953102	0.0323392	0.0994271	
600	0.0686156	-0.129209	0.0715086	-0.00309698	-0.185177	0.0729465	-0.0555261	0.0912018	0.0325004	0.0996007	
620	0.0677821	-0.128781	0.0714966	-0.00161133	-0.184334	0.0729577	-0.0561993	0.0913482	0.0313156	0.0976015	
